## sphere datafile for aw_msp_ivf
# number of spheres
25
# rho0 c0 a cx cy cz bsn bdv l_limit
970.0 1004.0 0.005 +0.00 +0.00 0.00 64 2 40
970.0 1004.0 0.005 +0.05 +0.00 0.00 64 2 40
970.0 1004.0 0.005 +0.10 +0.00 0.00 64 2 40
970.0 1004.0 0.005 -0.05 +0.00 0.00 64 2 40
970.0 1004.0 0.005 -0.10 +0.00 0.00 64 2 40
970.0 1004.0 0.005 +0.00 +0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.05 +0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.10 +0.05 0.00 64 2 40
970.0 1004.0 0.005 -0.05 +0.05 0.00 64 2 40
970.0 1004.0 0.005 -0.10 +0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.00 +0.10 0.00 64 2 40
970.0 1004.0 0.005 +0.05 +0.10 0.00 64 2 40
970.0 1004.0 0.005 +0.10 +0.10 0.00 64 2 40
970.0 1004.0 0.005 -0.05 +0.10 0.00 64 2 40
970.0 1004.0 0.005 -0.10 +0.10 0.00 64 2 40
970.0 1004.0 0.005 +0.00 -0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.05 -0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.10 -0.05 0.00 64 2 40
970.0 1004.0 0.005 -0.05 -0.05 0.00 64 2 40
970.0 1004.0 0.005 -0.10 -0.05 0.00 64 2 40
970.0 1004.0 0.005 +0.00 -0.10 0.00 64 2 40
970.0 1004.0 0.005 +0.05 -0.10 0.00 64 2 40
970.0 1004.0 0.005 +0.10 -0.10 0.00 64 2 40
970.0 1004.0 0.005 -0.05 -0.10 0.00 64 2 40
970.0 1004.0 0.005 -0.10 -0.10 0.00 64 2 40

